City_ID,City,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed,Current Description
352,Baragua,21.6967,-78.6328,85.55,71,78,8.95,broken clouds
353,Tiznit,29.5833,-9.5,74.8,43,1,1.16,clear sky
354,Huarmey,-10.0681,-78.1522,67.8,75,20,9.26,few clouds
355,Kavieng,-2.5744,150.7967,81.16,80,97,5.88,moderate rain
356,Kunnamangalam,11.3046,75.8777,79.43,94,94,3.02,overcast clouds
357,Metu,8.3,35.5833,53.56,98,42,3.38,scattered clouds
358,Requena,39.4883,-1.1004,66.99,50,88,4.7,overcast clouds
359,Boke,10.9409,-14.2967,76.44,94,100,4.07,overcast clouds
360,Teya,60.3778,92.6267,35.38,93,100,5.77,overcast clouds
361,Bucerias,20.75,-105.3333,87.98,77,92,6.62,overcast clouds
362,Rosarito,32.3333,-117.0333,71.26,70,6,12.35,clear sky
363,Coahuayana,18.7333,-103.6833,88.27,65,100,5.21,overcast clouds
364,Buraydah,26.326,43.975,84.65,27,14,12.01,few clouds
365,Suez,29.9737,32.5263,73.62,72,43,8.79,scattered clouds
366,Praya,14.9215,-23.5087,81.14,74,20,12.66,few clouds
367,Dolinsk,47.35,142.8,37.26,95,15,7.05,few clouds
368,Saint-Francois,46.4154,3.9054,58.68,100,0,3.44,clear sky
369,Oshnaviyeh,37.0397,45.0983,43.05,41,0,0.89,clear sky
370,Nantucket,41.2835,-70.0995,73.54,70,1,18.41,clear sky
371,Norman Wells,65.282,-126.8329,37.44,65,75,17.27,broken clouds
372,Nanortalik,60.1432,-45.2371,37.85,74,12,3.58,few clouds
373,Sur,22.5667,59.5289,83.84,65,6,9.98,clear sky
374,Westport,41.1415,-73.3579,74.05,48,20,1.99,few clouds
